domain,canonical,project_code,symbol,category,subcategory,unit,aliases,description,relations
地层,蓬莱镇组,STR-J3P,J3p,侏罗系,上侏罗统,,蓬莱镇地层|Penglaizhen Formation|J3p|J₃p,蓬莱镇组地层单元。,[]
地层,栖霞组,STR-P2Q,P2q,二叠系,中二叠统,,栖霞地层|Qixia Formation|P2q|P₂q,栖霞组地层单元。,[]
地层,茅口组,STR-P2M,P2m,二叠系,中二叠统,,茅口地层|Maokou Formation|P2m|P₂m,茅口组地层单元。,[]
地层,龙潭组,STR-P3L,P3l,二叠系,上二叠统,,龙潭地层|Longtan Formation|P3l|P₃l,龙潭组地层单元。,[]
地层,长兴组,STR-P3C,P3c,二叠系,上二叠统,,长兴地层|Changxing Formation|P3c|P₃c,长兴组地层单元。,[]
地层,五峰组,STR-O3W,O3w,奥陶系,上奥陶统,,五峰地层|Wufeng Formation|O3w|O₃w,五峰组地层单元。,[]
地层,龙马溪组,STR-S1L,S1l,志留系,下志留统,,龙马溪地层|Longmaxi Formation|S1l|S₁l,龙马溪组地层单元。,[]
地层,筇竹寺组,STR-CAM-QIONGZHUSI,Є1q,寒武系,下寒武统,,筇竹寺地层|Qiongzhusi Formation|Є1q,筇竹寺组地层单元。,[]
地层,沧浪铺组,STR-CAM-CANGLANGPU,Є1c,寒武系,下寒武统,,沧浪铺地层|Canglangpu Formation|Є1c,沧浪铺组地层单元。,[]
地层,峨眉山玄武岩组,STR-P3-EMEISHAN,P3β,二叠系,上二叠统,,峨眉山玄武岩|Emeishan Basalt Formation|P3β,峨眉山玄武岩组地层单元。,[]
岩性,砾岩,LIT-SED-CONGLOMERATE,,沉积岩,碎屑岩,,Conglomerate|圆砾岩,砾岩，类别为沉积岩/碎屑岩。,[]
岩性,角砾岩,LIT-SED-BRECCIA,,沉积岩,碎屑岩,,Breccia|构造角砾岩,角砾岩，类别为沉积岩/碎屑岩。,[]
岩性,砂岩,LIT-SED-SANDSTONE,,沉积岩,碎屑岩,,Sandstone|砂质岩,砂岩，类别为沉积岩/碎屑岩。,[]
岩性,石英砂岩,LIT-SED-QUARTZ-SANDSTONE,,沉积岩,碎屑岩,,Quartz Sandstone|石英质砂岩,石英砂岩，类别为沉积岩/碎屑岩。,[]
岩性,长石砂岩,LIT-SED-ARKOSE,,沉积岩,碎屑岩,,Arkose|长石质砂岩,长石砂岩，类别为沉积岩/碎屑岩。,[]
岩性,岩屑砂岩,LIT-SED-LITHIC-SANDSTONE,,沉积岩,碎屑岩,,Lithic Sandstone,岩屑砂岩，类别为沉积岩/碎屑岩。,[]
岩性,粉砂岩,LIT-SED-SILTSTONE,,沉积岩,碎屑岩,,Siltstone,粉砂岩，类别为沉积岩/碎屑岩。,[]
岩性,泥岩,LIT-SED-MUDSTONE,,沉积岩,碎屑岩,,Mudstone,泥岩，类别为沉积岩/碎屑岩。,[]
岩性,页岩,LIT-SED-SHALE,,沉积岩,碎屑岩,,Shale,页岩，类别为沉积岩/碎屑岩。,[]
岩性,黏土岩,LIT-SED-CLAYSTONE,,沉积岩,碎屑岩,,Claystone|粘土岩,黏土岩，类别为沉积岩/碎屑岩。,[]
岩性,石灰岩,LIT-SED-LIMESTONE,,沉积岩,碳酸盐岩,,Limestone|灰岩|石灰石,石灰岩，类别为沉积岩/碳酸盐岩。,"[{""type"": ""易发地质作用"", ""target_domain"": ""地下水"", ""target"": ""岩溶水""}, {""type"": ""潜在不良地质"", ""target_domain"": ""不良地质"", ""target"": ""岩溶塌陷""}]"
岩性,生物碎屑灰岩,LIT-SED-BIOCLASTIC-LIMESTONE,,沉积岩,碳酸盐岩,,Bioclastic Limestone,生物碎屑灰岩，类别为沉积岩/碳酸盐岩。,[]
岩性,白云质灰岩,LIT-SED-DOLOMITIC-LIMESTONE,,沉积岩,碳酸盐岩,,Dolomitic Limestone,白云质灰岩，类别为沉积岩/碳酸盐岩。,"[{""type"": ""易发地质作用"", ""target_domain"": ""地下水"", ""target"": ""岩溶水""}, {""type"": ""潜在不良地质"", ""target_domain"": ""不良地质"", ""target"": ""岩溶塌陷""}]"
岩性,泥灰岩,LIT-SED-MARL,,沉积岩,碳酸盐岩,,Marl|灰质泥岩,泥灰岩，类别为沉积岩/碳酸盐岩。,[]
岩性,白云岩,LIT-SED-DOLOSTONE,,沉积岩,碳酸盐岩,,Dolostone|Dolomite Rock|白云石岩,白云岩，类别为沉积岩/碳酸盐岩。,"[{""type"": ""易发地质作用"", ""target_domain"": ""地下水"", ""target"": ""岩溶水""}, {""type"": ""潜在不良地质"", ""target_domain"": ""不良地质"", ""target"": ""岩溶塌陷""}]"
岩性,硅质岩,LIT-SED-SILICEOUS,,沉积岩,硅质岩,,Siliceous Rock|燧石岩,硅质岩，类别为沉积岩/硅质岩。,[]
岩性,燧石,LIT-SED-CHERT,,沉积岩,硅质岩,,Chert,燧石，类别为沉积岩/硅质岩。,[]
岩性,磷块岩,LIT-SED-PHOSPHORITE,,沉积岩,化学沉积岩,,Phosphorite|磷矿岩,磷块岩，类别为沉积岩/化学沉积岩。,[]
岩性,煤,LIT-SED-COAL,,沉积岩,有机岩,,Coal|煤层,煤，类别为沉积岩/有机岩。,[]
岩性,石膏岩,LIT-SED-GYPSUM,,沉积岩,蒸发岩,,Gypsum Rock|石膏,石膏岩，类别为沉积岩/蒸发岩。,[]
岩性,岩盐,LIT-SED-HALITE,,沉积岩,蒸发岩,,Rock Salt|盐岩,岩盐，类别为沉积岩/蒸发岩。,[]
岩性,花岗岩,LIT-IGN-GRANITE,,岩浆岩,酸性侵入岩,,Granite|花岗石,花岗岩，类别为岩浆岩/酸性侵入岩。,[]
岩性,二长花岗岩,LIT-IGN-MONZOGRANITE,,岩浆岩,酸性侵入岩,,Monzogranite,二长花岗岩，类别为岩浆岩/酸性侵入岩。,[]
岩性,花岗闪长岩,LIT-IGN-GRANODIORITE,,岩浆岩,酸性侵入岩,,Granodiorite,花岗闪长岩，类别为岩浆岩/酸性侵入岩。,[]
岩性,正长岩,LIT-IGN-SYENITE,,岩浆岩,中性侵入岩,,Syenite,正长岩，类别为岩浆岩/中性侵入岩。,[]
岩性,闪长岩,LIT-IGN-DIORITE,,岩浆岩,中性侵入岩,,Diorite,闪长岩，类别为岩浆岩/中性侵入岩。,[]
岩性,石英闪长岩,LIT-IGN-QUARTZ-DIORITE,,岩浆岩,中性侵入岩,,Quartz Diorite,石英闪长岩，类别为岩浆岩/中性侵入岩。,[]
岩性,辉长岩,LIT-IGN-GABBRO,,岩浆岩,基性侵入岩,,Gabbro,辉长岩，类别为岩浆岩/基性侵入岩。,[]
岩性,辉绿岩,LIT-IGN-DIABASE,,岩浆岩,浅成基性岩,,Diabase|Dolerite,辉绿岩，类别为岩浆岩/浅成基性岩。,[]
岩性,橄榄岩,LIT-IGN-PERIDOTITE,,岩浆岩,超基性侵入岩,,Peridotite,橄榄岩，类别为岩浆岩/超基性侵入岩。,[]
岩性,伟晶岩,LIT-IGN-PEGMATITE,,岩浆岩,脉岩,,Pegmatite,伟晶岩，类别为岩浆岩/脉岩。,[]
岩性,细晶岩,LIT-IGN-APLITE,,岩浆岩,脉岩,,Aplite,细晶岩，类别为岩浆岩/脉岩。,[]
岩性,玄武岩,LIT-VOL-BASALT,,岩浆岩,基性喷出岩,,Basalt|拉斑玄武岩,玄武岩，类别为岩浆岩/基性喷出岩。,[]
岩性,安山岩,LIT-VOL-ANDESITE,,岩浆岩,中性喷出岩,,Andesite,安山岩，类别为岩浆岩/中性喷出岩。,[]
岩性,英安岩,LIT-VOL-DACITE,,岩浆岩,中酸性喷出岩,,Dacite,英安岩，类别为岩浆岩/中酸性喷出岩。,[]
岩性,流纹岩,LIT-VOL-RHYOLITE,,岩浆岩,酸性喷出岩,,Rhyolite,流纹岩，类别为岩浆岩/酸性喷出岩。,[]
岩性,凝灰岩,LIT-PYRO-TUFF,,火山碎屑岩,凝灰质岩,,Tuff|火山凝灰岩,凝灰岩，类别为火山碎屑岩/凝灰质岩。,[]
岩性,熔结凝灰岩,LIT-PYRO-IGNIMBRITE,,火山碎屑岩,熔结凝灰岩,,Ignimbrite|Welded Tuff,熔结凝灰岩，类别为火山碎屑岩/熔结凝灰岩。,[]
岩性,火山角砾岩,LIT-PYRO-VOLCANIC-BRECCIA,,火山碎屑岩,粗碎屑岩,,Volcanic Breccia,火山角砾岩，类别为火山碎屑岩/粗碎屑岩。,[]
岩性,集块岩,LIT-PYRO-AGGLOMERATE,,火山碎屑岩,粗碎屑岩,,Agglomerate,集块岩，类别为火山碎屑岩/粗碎屑岩。,[]
岩性,片麻岩,LIT-MET-GNEISS,,变质岩,区域变质岩,,Gneiss|花岗片麻岩,片麻岩，类别为变质岩/区域变质岩。,[]
岩性,片岩,LIT-MET-SCHIST,,变质岩,区域变质岩,,Schist|云母片岩|绿泥石片岩,片岩，类别为变质岩/区域变质岩。,[]
岩性,板岩,LIT-MET-SLATE,,变质岩,低级变质岩,,Slate,板岩，类别为变质岩/低级变质岩。,[]
岩性,千枚岩,LIT-MET-PHYLLITE,,变质岩,低级变质岩,,Phyllite,千枚岩，类别为变质岩/低级变质岩。,[]
岩性,石英岩,LIT-MET-QUARTZITE,,变质岩,区域变质岩,,Quartzite,石英岩，类别为变质岩/区域变质岩。,[]
岩性,大理岩,LIT-MET-MARBLE,,变质岩,碳酸盐变质岩,,Marble|大理石,大理岩，类别为变质岩/碳酸盐变质岩。,[]
岩性,角闪岩,LIT-MET-AMPHIBOLITE,,变质岩,区域变质岩,,Amphibolite,角闪岩，类别为变质岩/区域变质岩。,[]
岩性,麻粒岩,LIT-MET-GRANULITE,,变质岩,高级变质岩,,Granulite,麻粒岩，类别为变质岩/高级变质岩。,[]
岩性,混合岩,LIT-MET-MIGMATITE,,变质岩,混合岩,,Migmatite,混合岩，类别为变质岩/混合岩。,[]
岩性,蛇纹岩,LIT-MET-SERPENTINITE,,变质岩,交代变质岩,,Serpentinite,蛇纹岩，类别为变质岩/交代变质岩。,[]
岩性,角岩,LIT-MET-HORNFELS,,变质岩,接触变质岩,,Hornfels,角岩，类别为变质岩/接触变质岩。,[]
岩性,糜棱岩,LIT-MET-MYLONITE,,变质岩,动力变质岩,,Mylonite,糜棱岩，类别为变质岩/动力变质岩。,[]
岩性,碎裂岩,LIT-MET-CATACLASITE,,变质岩,动力变质岩,,Cataclasite,碎裂岩，类别为变质岩/动力变质岩。,[]
岩性,断层泥,LIT-FAULT-GOUGE,,构造岩,断层岩,,Fault Gouge|断层黏土,断层泥，类别为构造岩/断层岩。,[]
岩性,黏土,LIT-SOIL-CLAY,,松散堆积物,黏性土,,Clay|粘土,黏土，类别为松散堆积物/黏性土。,[]
岩性,粉质黏土,LIT-SOIL-SILTY-CLAY,,松散堆积物,黏性土,,Silty Clay|粉质粘土,粉质黏土，类别为松散堆积物/黏性土。,[]
岩性,粉土,LIT-SOIL-SILT,,松散堆积物,粉土,,Silt,粉土，类别为松散堆积物/粉土。,[]
岩性,砂土,LIT-SOIL-SAND,,松散堆积物,砂类土,,Sand|细砂|中砂|粗砂,砂土，类别为松散堆积物/砂类土。,[]
岩性,砾石土,LIT-SOIL-GRAVEL,,松散堆积物,砾类土,,Gravel|砾石,砾石土，类别为松散堆积物/砾类土。,[]
岩性,卵石土,LIT-SOIL-PEBBLE,,松散堆积物,粗粒土,,Pebble Soil|卵石层,卵石土，类别为松散堆积物/粗粒土。,[]
岩性,块石土,LIT-SOIL-BOULDER,,松散堆积物,粗粒土,,Boulder Soil|块石层,块石土，类别为松散堆积物/粗粒土。,[]
岩性,填土,LIT-SOIL-FILL,,松散堆积物,人工堆积,,Fill|人工填土|杂填土|素填土,填土，类别为松散堆积物/人工堆积。,[]
岩性,残积土,LIT-SOIL-RESIDUAL,,松散堆积物,残积物,,Residual Soil|残坡积土,残积土，类别为松散堆积物/残积物。,[]
岩性,坡积土,LIT-SOIL-COLLUVIUM,,松散堆积物,坡积物,,Colluvium|崩坡积土,坡积土，类别为松散堆积物/坡积物。,[]
岩性,冲积土,LIT-SOIL-ALLUVIUM,,松散堆积物,冲积物,,Alluvium|冲洪积层,冲积土，类别为松散堆积物/冲积物。,[]
岩性,黄土,LIT-SOIL-LOESS,,松散堆积物,风成沉积,,Loess,黄土，类别为松散堆积物/风成沉积。,[]
岩性,泥炭,LIT-SOIL-PEAT,,松散堆积物,有机土,,Peat|泥炭土,泥炭，类别为松散堆积物/有机土。,[]
构造,断层,GEO-STR-FAULT,,断裂构造,断层,,Fault|断裂,断层，属于断裂构造/断层。,[]
构造,正断层,GEO-STR-NORMAL-FAULT,,断裂构造,断层,,Normal Fault|张性断层,正断层，属于断裂构造/断层。,[]
构造,逆断层,GEO-STR-REVERSE-FAULT,,断裂构造,断层,,Reverse Fault|压性断层,逆断层，属于断裂构造/断层。,[]
构造,逆冲断层,GEO-STR-THRUST-FAULT,,断裂构造,断层,,Thrust Fault|冲断层,逆冲断层，属于断裂构造/断层。,[]
构造,走滑断层,GEO-STR-STRIKE-SLIP,,断裂构造,断层,,Strike-slip Fault|平移断层|扭性断层,走滑断层，属于断裂构造/断层。,[]
构造,活动断层,GEO-STR-ACTIVE-FAULT,,断裂构造,活动构造,,Active Fault|活动断裂,活动断层，属于断裂构造/活动构造。,[]
构造,隐伏断层,GEO-STR-BURIED-FAULT,,断裂构造,隐伏构造,,Blind Fault|Buried Fault,隐伏断层，属于断裂构造/隐伏构造。,[]
构造,断层破碎带,GEO-STR-FAULT-ZONE,,断裂构造,破碎带,,Fault Fracture Zone|断裂破碎带|构造破碎带|碎裂带,断层破碎带，属于断裂构造/破碎带。,"[{""type"": ""可能赋水"", ""target_domain"": ""地下水"", ""target"": ""构造裂隙水""}, {""type"": ""潜在风险"", ""target_domain"": ""不良地质"", ""target"": ""突水突泥""}]"
构造,节理,GEO-STR-JOINT,,断裂构造,节理,,Joint|裂隙|节理裂隙,节理，属于断裂构造/节理。,[]
构造,张节理,GEO-STR-TENSION-JOINT,,断裂构造,节理,,Tension Joint|张性节理,张节理，属于断裂构造/节理。,[]
构造,剪节理,GEO-STR-SHEAR-JOINT,,断裂构造,节理,,Shear Joint|剪切节理,剪节理，属于断裂构造/节理。,[]
构造,层理,GEO-STR-BEDDING,,原生构造,层状构造,,Bedding|层面|层理面,层理，属于原生构造/层状构造。,[]
构造,片理,GEO-STR-FOLIATION,,变质构造,面理,,Foliation|片理面,片理，属于变质构造/面理。,[]
构造,劈理,GEO-STR-CLEAVAGE,,变质构造,面理,,Cleavage|劈理面,劈理，属于变质构造/面理。,[]
构造,片麻理,GEO-STR-GNEISSOSITY,,变质构造,面理,,Gneissosity,片麻理，属于变质构造/面理。,[]
构造,褶皱,GEO-STR-FOLD,,褶皱构造,褶皱,,Fold|褶曲,褶皱，属于褶皱构造/褶皱。,[]
构造,背斜,GEO-STR-ANTICLINE,,褶皱构造,背斜,,Anticline,背斜，属于褶皱构造/背斜。,[]
构造,向斜,GEO-STR-SYNCLINE,,褶皱构造,向斜,,Syncline,向斜，属于褶皱构造/向斜。,[]
构造,单斜构造,GEO-STR-MONOCLINE,,褶皱构造,单斜,,Monocline|单斜,单斜构造，属于褶皱构造/单斜。,[]
构造,穹隆构造,GEO-STR-DOME,,褶皱构造,穹隆,,Dome|穹隆,穹隆构造，属于褶皱构造/穹隆。,[]
构造,构造盆地,GEO-STR-BASIN,,褶皱构造,盆地,,Structural Basin|盆状构造,构造盆地，属于褶皱构造/盆地。,[]
构造,整合接触,GEO-STR-CONFORMABLE,,接触关系,整合,,Conformable Contact|整合,整合接触，属于接触关系/整合。,[]
构造,不整合面,GEO-STR-UNCONFORMITY,,接触关系,不整合,,Unconformity|不整合,不整合面，属于接触关系/不整合。,[]
构造,角度不整合,GEO-STR-ANGULAR-UNCONFORMITY,,接触关系,不整合,,Angular Unconformity,角度不整合，属于接触关系/不整合。,[]
构造,平行不整合,GEO-STR-DISCONFORMITY,,接触关系,不整合,,Disconformity|假整合,平行不整合，属于接触关系/不整合。,[]
构造,侵入接触,GEO-STR-INTRUSIVE-CONTACT,,接触关系,侵入接触,,Intrusive Contact,侵入接触，属于接触关系/侵入接触。,[]
构造,断层接触,GEO-STR-FAULT-CONTACT,,接触关系,断层接触,,Fault Contact,断层接触，属于接触关系/断层接触。,[]
构造,构造面,GEO-STR-STRUCTURAL-PLANE,,结构面,通用,,Structural Plane|结构面,构造面，属于结构面/通用。,[]
构造,软弱夹层,GEO-STR-WEAK-INTERLAYER,,结构面,软弱结构面,,Weak Interlayer|软弱层|夹泥层,软弱夹层，属于结构面/软弱结构面。,[]
构造,岩脉,GEO-STR-DIKE,,侵入构造,岩脉,,Dike|Dyke|脉岩,岩脉，属于侵入构造/岩脉。,[]
地下水,潜水,GW-PHREATIC,,埋藏条件,,,Phreatic Water|非承压水|浅层地下水,潜水，地下水语义类型为埋藏条件。,[]
地下水,承压水,GW-CONFINED,,埋藏条件,,,Confined Water|压力水|承压含水层水,承压水，地下水语义类型为埋藏条件。,[]
地下水,上层滞水,GW-PERCHED,,埋藏条件,,,Perched Water|悬挂水|滞水,上层滞水，地下水语义类型为埋藏条件。,[]
地下水,孔隙水,GW-PORE,,含水介质,,,Pore Water|松散层地下水|孔隙地下水,孔隙水，地下水语义类型为含水介质。,[]
地下水,基岩裂隙水,GW-BEDROCK-FISSURE,,含水介质,,,Bedrock Fissure Water|裂隙水|基岩地下水|Fissure Water,基岩裂隙水，地下水语义类型为含水介质。,[]
地下水,风化裂隙水,GW-WEATHERED-FISSURE,,含水介质,,,Weathered Fissure Water|风化带裂隙水,风化裂隙水，地下水语义类型为含水介质。,[]
地下水,构造裂隙水,GW-TECTONIC-FISSURE,,含水介质,,,Tectonic Fissure Water|断层裂隙水,构造裂隙水，地下水语义类型为含水介质。,[]
地下水,岩溶水,GW-KARST,,含水介质,,,Karst Water|喀斯特水|溶洞水,岩溶水，地下水语义类型为含水介质。,[]
地下水,地下河,GW-UNDERGROUND-RIVER,,地下水形态,,,Underground River|暗河,地下河，地下水语义类型为地下水形态。,[]
地下水,泉水,GW-SPRING,,地下水形态,,,Spring Water|泉,泉水，地下水语义类型为地下水形态。,[]
地下水,含水层,GW-AQUIFER,,水文地质单元,,,Aquifer,含水层，地下水语义类型为水文地质单元。,[]
地下水,弱透水层,GW-AQUITARD,,水文地质单元,,,Aquitard|相对隔水层,弱透水层，地下水语义类型为水文地质单元。,[]
地下水,隔水层,GW-AQUICLUDE,,水文地质单元,,,Aquiclude|不透水层,隔水层，地下水语义类型为水文地质单元。,[]
地下水,地下水位,GW-WATER-TABLE,,水文参数,,,Water Table|水位|潜水面,地下水位，地下水语义类型为水文参数。,[]
地下水,承压水头,GW-PIEZOMETRIC-HEAD,,水文参数,,,Piezometric Head|测压水位|承压水位,承压水头，地下水语义类型为水文参数。,[]
地下水,水压力,GW-WATER-PRESSURE,,水文参数,,,Water Pressure|孔隙水压力|水头压力,水压力，地下水语义类型为水文参数。,[]
地下水,水力坡度,GW-HYDRAULIC-GRADIENT,,水文参数,,,Hydraulic Gradient|水力梯度,水力坡度，地下水语义类型为水文参数。,[]
地下水,渗透系数,GW-HYDRAULIC-CONDUCTIVITY,,水文参数,,,Hydraulic Conductivity|K值|透水系数,渗透系数，地下水语义类型为水文参数。,[]
地下水,富水性,GW-WATER-YIELD,,水文参数,,,Water Yield|出水能力|含水性,富水性，地下水语义类型为水文参数。,[]
地下水,补给,GW-RECHARGE,,地下水循环,,,Recharge|地下水补给,补给，地下水语义类型为地下水循环。,[]
地下水,径流,GW-RUNOFF,,地下水循环,,,Groundwater Runoff|地下水径流,径流，地下水语义类型为地下水循环。,[]
地下水,排泄,GW-DISCHARGE,,地下水循环,,,Discharge|地下水排泄,排泄，地下水语义类型为地下水循环。,[]
地下水,季节性变化,GW-SEASONAL,,动态特征,,,Seasonal Variation|水位季节变化,季节性变化，地下水语义类型为动态特征。,[]
地下水,干燥,GW-STATE-DRY,,隧道出水状态,,,Dry|无水,干燥，地下水语义类型为隧道出水状态。,[]
地下水,潮湿,GW-STATE-DAMP,,隧道出水状态,,,Damp|湿润,潮湿，地下水语义类型为隧道出水状态。,[]
地下水,点滴状出水,GW-STATE-DRIP,,隧道出水状态,,,Dripping Water|滴水|点滴状,点滴状出水，地下水语义类型为隧道出水状态。,[]
地下水,线状出水,GW-STATE-LINEAR,,隧道出水状态,,,Linear Flow|线流|线状滴水,线状出水，地下水语义类型为隧道出水状态。,[]
地下水,股状出水,GW-STATE-JET,,隧道出水状态,,,Jet Flow|股流|股状涌水,股状出水，地下水语义类型为隧道出水状态。,[]
地下水,涌水,GW-INFLOW,,工程水文现象,,,Water Inflow|地下水涌出|隧道涌水,涌水，地下水语义类型为工程水文现象。,[]
不良地质,滑坡,AG-LANDSLIDE,,斜坡灾害,,,Landslide|滑坡体|山体滑坡,滑坡，不良地质类型为斜坡灾害。,[]
不良地质,崩塌,AG-COLLAPSE,,斜坡灾害,,,Collapse|崩塌体|岩质崩塌,崩塌，不良地质类型为斜坡灾害。,[]
不良地质,危岩,AG-DANGEROUS-ROCK,,斜坡灾害,,,Dangerous Rock|危岩体,危岩，不良地质类型为斜坡灾害。,[]
不良地质,落石,AG-ROCKFALL,,斜坡灾害,,,Rockfall|滚石,落石，不良地质类型为斜坡灾害。,[]
不良地质,泥石流,AG-DEBRIS-FLOW,,山洪灾害,,,Debris Flow|泥石流沟,泥石流，不良地质类型为山洪灾害。,[]
不良地质,不稳定斜坡,AG-UNSTABLE-SLOPE,,斜坡灾害,,,Unstable Slope|潜在滑坡,不稳定斜坡，不良地质类型为斜坡灾害。,[]
不良地质,岩溶塌陷,AG-KARST-COLLAPSE,,地面变形,,,Karst Collapse|溶洞塌陷|喀斯特塌陷,岩溶塌陷，不良地质类型为地面变形。,[]
不良地质,地面沉降,AG-LAND-SUBSIDENCE,,地面变形,,,Land Subsidence|地面下沉,地面沉降，不良地质类型为地面变形。,[]
不良地质,地裂缝,AG-GROUND-FISSURE,,地面变形,,,Ground Fissure|地面裂缝|地表裂缝,地裂缝，不良地质类型为地面变形。,[]
不良地质,采空区,AG-GOAF,,人类工程活动,,,Goaf|老采空区|矿山采空区,采空区，不良地质类型为人类工程活动。,[]
不良地质,突水突泥,AG-WATER-MUD-INRUSH,,隧道灾害,,,Water and Mud Inrush|突水|突泥|突涌水,突水突泥，不良地质类型为隧道灾害。,[]
不良地质,流砂,AG-QUICKSAND,,地下工程灾害,,,Quicksand|流沙,流砂，不良地质类型为地下工程灾害。,[]
不良地质,管涌,AG-PIPING,,渗透破坏,,,Piping|潜蚀管涌,管涌，不良地质类型为渗透破坏。,[]
不良地质,涌砂,AG-SAND-INRUSH,,地下工程灾害,,,Sand Inrush|突砂,涌砂，不良地质类型为地下工程灾害。,[]
不良地质,岩爆,AG-ROCKBURST,,高地应力灾害,,,Rockburst|冲击地压,岩爆，不良地质类型为高地应力灾害。,[]
不良地质,大变形,AG-LARGE-DEFORMATION,,地下工程灾害,,,Large Deformation|软岩大变形,大变形，不良地质类型为地下工程灾害。,[]
不良地质,高地应力,AG-HIGH-GEOSTRESS,,地应力异常,,,High Geostress|高应力区,高地应力，不良地质类型为地应力异常。,[]
不良地质,瓦斯,AG-GAS,,有害气体,,,Gas|瓦斯突出|有害气体,瓦斯，不良地质类型为有害气体。,[]
不良地质,高地温,AG-HIGH-GEOTEMPERATURE,,地热异常,,,High Geotemperature|高温热害,高地温，不良地质类型为地热异常。,[]
不良地质,活动断层,AG-ACTIVE-FAULT,,构造灾害,,,Active Fault Hazard|活动断裂带,活动断层，不良地质类型为构造灾害。,[]
